Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
P20908,P20908;P20908-2,CO5A1_HUMAN,COL5A1,Collagen alpha-1(V) chain,COL5A1,P20908,P20908
P20933,P20933,ASPG_HUMAN,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,AGA,P20933,P20933
P20936;P20936-2;P20936-4,P20936;P20936-2;P20936-3;P20936-4,RASA1_HUMAN,RASA1,Ras GTPase-activating protein 1,RASA1,P20936;P20936-2;P20936-4,P20936;P20936-2;P20936-4
P20962,P20962,PTMS_HUMAN,PTMS,Parathymosin,PTMS,P20962,P20962
P20963;P20963-3,P20963;P20963-3,CD3Z_HUMAN,CD247,T-cell surface glycoprotein CD3 zeta chain,CD247,P20963;P20963-3,P20963;P20963-3
P21127;P21127-2;P21127-3;P21127-8,P21127;Q9UQ88;P21127-10;P21127-12;P21127-2;P21127-3;P21127-4;P21127-5;P21127-6;P21127-8;P21127-9;Q9UQ88-10;Q9UQ88-2;Q9UQ88-3;Q9UQ88-4;Q9UQ88-5;Q9UQ88-9,CD11B_HUMAN,CDK11B,Cyclin-dependent kinase 11B,CDK11B,P21127;P21127-2;P21127-3;P21127-8,P21127;P21127-2;P21127-3;P21127-8
P21266,P21266,GSTM3_HUMAN,GSTM3,Glutathione S-transferase Mu 3,GSTM3,P21266,P21266
P21281,P21281,VATB2_HUMAN,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,P21281,P21281
P21283,P21283,VATC1_HUMAN,ATP6V1C1,V-type proton ATPase subunit C 1,ATP6V1C1,P21283,P21283
P21291,P21291,CSRP1_HUMAN,CSRP1,Cysteine and glycine-rich protein 1,CSRP1,P21291,P21291
P21333;P21333-2,P21333;P21333-2,FLNA_HUMAN,FLNA,Filamin-A,FLNA,P21333;P21333-2,P21333;P21333-2
P21397,P21397;P21397-2,AOFA_HUMAN,MAOA,Amine oxidase [flavin-containing] A,MAOA,P21397,P21397
P21399,P21399,ACOHC_HUMAN,ACO1,Cytoplasmic aconitate hydratase,ACO1,P21399,P21399
P21583;P21583-2;P21583-3,P21583;P21583-2;P21583-3,SCF_HUMAN,KITLG,Kit ligand,KITLG,P21583;P21583-2;P21583-3,P21583;P21583-2;P21583-3
P21589;P21589-2,P21589;P21589-2,5NTD_HUMAN,NT5E,5'-nucleotidase,NT5E,P21589;P21589-2,P21589;P21589-2
P21675;P21675-12;P21675-2;P21675-3;P21675-4;P21675-5;P21675-6;P21675-7;P21675-8;P21675-9,P21675;Q8IZX4;P21675-12;P21675-2;P21675-3;P21675-4;P21675-5;P21675-6;P21675-7;P21675-8;P21675-9,TAF1_HUMAN,TAF1,Transcription initiation factor TFIID subunit 1,TAF1,P21675;P21675-12;P21675-2;P21675-3;P21675-4;P21675-5;P21675-6;P21675-7;P21675-8;P21675-9,P21675;P21675-12;P21675-2;P21675-3;P21675-4;P21675-5;P21675-6;P21675-7;P21675-8;P21675-9
P21695-2,P21695-2,GPDA_HUMAN,GPD1,"Isoform 2 of Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GPD1,P21695-2,P21695-2
P21796,P21796,VDAC1_HUMAN,VDAC1,Voltage-dependent anion-selective channel protein 1,VDAC1,P21796,P21796
P21810,P21810,PGS1_HUMAN,BGN,Biglycan,BGN,P21810,P21810
P21854,P21854,CD72_HUMAN,CD72,B-cell differentiation antigen CD72,CD72,P21854,P21854
P21860;P21860-4;P21860-5,P21860;P21860-4;P21860-5,ERBB3_HUMAN,ERBB3,Receptor tyrosine-protein kinase erbB-3,ERBB3,P21860;P21860-4;P21860-5,P21860;P21860-4;P21860-5
P21912,P21912,SDHB_HUMAN,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,P21912,P21912
P21926,P21926,CD9_HUMAN,CD9,CD9 antigen,CD9,P21926,P21926
P21964;P21964-2,P21964;P21964-2,COMT_HUMAN,COMT,Catechol O-methyltransferase,COMT,P21964;P21964-2,P21964;P21964-2
P21980,P21980;P21980-2;P49221,TGM2_HUMAN,TGM2,Protein-glutamine gamma-glutamyltransferase 2,TGM2,P21980,P21980
P22033,P22033,MUTA_HUMAN,MMUT,"Methylmalonyl-CoA mutase, mitochondrial",MMUT,P22033,P22033
P22059,P22059,OSBP1_HUMAN,OSBP,Oxysterol-binding protein 1,OSBP,P22059,P22059
P22061;P22061-2,P22061;P22061-2,PIMT_HUMAN,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PCMT1,P22061;P22061-2,P22061;P22061-2
P22087,P22087,FBRL_HUMAN,FBL,rRNA 2'-O-methyltransferase fibrillarin,FBL,P22087,P22087
P22102,P22102,PUR2_HUMAN,GART,Trifunctional purine biosynthetic protein adenosine-3,GART,P22102,P22102
P22105;P22105-1;P22105-4,P22105;P22105-1;P22105-4,TENX_HUMAN,TNXB,Tenascin-X,TNXB,P22105;P22105-1;P22105-4,P22105;P22105-1;P22105-4
P22234;P22234-2,P22234;P22234-2,PUR6_HUMAN,PAICS,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,PAICS,P22234;P22234-2,P22234;P22234-2
P22303;P22303-3,P22303;P22303-3,ACES_HUMAN,ACHE,Acetylcholinesterase,ACHE,P22303;P22303-3,P22303;P22303-3
P22307;P22307-7,P22307;P22307-3;P22307-4;P22307-7;P22307-8,SCP2_HUMAN,SCP2,Sterol carrier protein 2,SCP2,P22307;P22307-7,P22307;P22307-7
P22314;P22314-2,P22314;P22314-2,UBA1_HUMAN,UBA1,Ubiquitin-like modifier-activating enzyme 1,UBA1,P22314;P22314-2,P22314;P22314-2
P22352,P22352,GPX3_HUMAN,GPX3,Glutathione peroxidase 3,GPX3,P22352,P22352
P22413,P22413,ENPP1_HUMAN,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,ENPP1,P22413,P22413
P22570;P22570-3;P22570-4;P22570-7,P22570;P22570-2;P22570-3;P22570-4;P22570-5;P22570-6;P22570-7,ADRO_HUMAN,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",FDXR,P22570;P22570-3;P22570-4;P22570-7,P22570;P22570-3;P22570-4;P22570-7
P22626,P22626;P22626-2,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,P22626,P22626
P22670,P22670,RFX1_HUMAN,RFX1,MHC class II regulatory factor RFX1,RFX1,P22670,P22670
P22681,P22681,CBL_HUMAN,CBL,E3 ubiquitin-protein ligase CBL,CBL,P22681,P22681
P22694-2,P22694-2,KAPCB_HUMAN,PRKACB,Isoform 2 of cAMP-dependent protein kinase catalytic subunit beta,PRKACB,P22694-2,P22694-2
P22695,P22695,QCR2_HUMAN,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,P22695,P22695
P22830;P22830-2,P22830;P22830-2,HEMH_HUMAN,FECH,"Ferrochelatase, mitochondrial",FECH,P22830;P22830-2,P22830;P22830-2
P22897,P22897,MRC1_HUMAN,MRC1,Macrophage mannose receptor 1,MRC1,P22897,P22897
P23141;P23141-2;P23141-3,P23141;P23141-3;P23141-2,EST1_HUMAN,CES1,Liver carboxylesterase 1,CES1,P23141;P23141-2;P23141-3,P23141;P23141-2;P23141-3
P23142,P23142,FBLN1_HUMAN,FBLN1,Fibulin-1,FBLN1,P23142,P23142
P23142-4,P23142-4,FBLN1_HUMAN,FBLN1,Isoform C of Fibulin-1,FBLN1.1,P23142-4,P23142-4
P23193,P23193;P23193-2,TCEA1_HUMAN,TCEA1,Transcription elongation factor A protein 1,TCEA1,P23193,P23193
P23219;P23219-2;P23219-3;P23219-4;P23219-5;P23219-6,P23219;P23219-2;P23219-3;P23219-4;P23219-5;P23219-6,PGH1_HUMAN,PTGS1,Prostaglandin G/H synthase 1,PTGS1,P23219;P23219-2;P23219-3;P23219-4;P23219-5;P23219-6,P23219;P23219-2;P23219-3;P23219-4;P23219-5;P23219-6
P23229;P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-9,P23229;P23229-2;P23229-4;P23229-6;P23229-3;P23229-5;P23229-7;P23229-9,ITA6_HUMAN,ITGA6,Integrin alpha-6,ITGA6,P23229;P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-9,P23229;P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-9
P23246,P23246;P23246-2,SFPQ_HUMAN,SFPQ,"Splicing factor, proline- and glutamine-rich",SFPQ,P23246,P23246
P23258,P23258;Q9NRH3,TBG1_HUMAN,TUBG1,Tubulin gamma-1 chain,TUBG1,P23258,P23258
P23284,P23284,PPIB_HUMAN,PPIB,Peptidyl-prolyl cis-trans isomerase B,PPIB,P23284,P23284
P23297,P23297,S10A1_HUMAN,S100A1,Protein S100-A1,S100A1,P23297,P23297
P23352,P23352,KALM_HUMAN,ANOS1,Anosmin-1,ANOS1,P23352,P23352
P23368,P23368;P23368-2,MAOM_HUMAN,ME2,"NAD-dependent malic enzyme, mitochondrial",ME2,P23368,P23368
P23381,P23381;P23381-2,SYWC_HUMAN,WARS1,"Tryptophan--tRNA ligase, cytoplasmic",WARS1,P23381,P23381
P23396,P23396;P23396-2,RS3_HUMAN,RPS3,40S ribosomal protein S3,RPS3,P23396,P23396
P23443;P23443-2;P23443-3;P23443-5,P23443;P23443-4;P23443-2;P23443-3;P23443-5,KS6B1_HUMAN,RPS6KB1,Ribosomal protein S6 kinase beta-1,RPS6KB1,P23443;P23443-2;P23443-3;P23443-5,P23443;P23443-2;P23443-3;P23443-5
P23458,P23458,JAK1_HUMAN,JAK1,Tyrosine-protein kinase JAK1,JAK1,P23458,P23458
P23469;P23469-2;P23469-3,P23469;P23469-2;P23469-3,PTPRE_HUMAN,PTPRE,Receptor-type tyrosine-protein phosphatase epsilon,PTPRE,P23469;P23469-2;P23469-3,P23469;P23469-2;P23469-3
P23470;P23470-2,P23470;P23470-2,PTPRG_HUMAN,PTPRG,Receptor-type tyrosine-protein phosphatase gamma,PTPRG,P23470;P23470-2,P23470;P23470-2
P23497,P23497;P23497-2;Q9H930;P23497-3;P23497-4;P23497-5;P23497-6;P23497-7;Q9H930-1;Q9H930-2;Q9H930-3,SP100_HUMAN,SP100,Nuclear autoantigen Sp-100,SP100,P23497,P23497
P23508;P23508-2,P23508;P23508-2,CRCM_HUMAN,MCC,Colorectal mutant cancer protein,MCC,P23508;P23508-2,P23508;P23508-2
P23526,P23526;P23526-2,SAHH_HUMAN,AHCY,Adenosylhomocysteinase,AHCY,P23526,P23526
P23528,P23528;Q9Y281;Q9Y281-3,COF1_HUMAN,CFL1,Cofilin-1,CFL1,P23528,P23528
P23588;P23588-2,P23588;P23588-2,IF4B_HUMAN,EIF4B,Eukaryotic translation initiation factor 4B,EIF4B,P23588;P23588-2,P23588;P23588-2
P23610,P23610,HAP40_HUMAN,F8A1,40-kDa huntingtin-associated protein,F8A1,P23610,P23610
P23634;P23634-6;P23634-7;P23634-8,P20020;P23634;P23634-2;P23634-3;P23634-4;P23634-5;P23634-6;P23634-7;P23634-8;P20020-1;P20020-2;P20020-4;P20020-5;P20020-6,AT2B4_HUMAN,ATP2B4,Plasma membrane calcium-transporting ATPase 4,ATP2B4,P23634;P23634-6;P23634-7;P23634-8,P23634;P23634-6;P23634-7;P23634-8
P23743,P23743,DGKA_HUMAN,DGKA,Diacylglycerol kinase alpha,DGKA,P23743,P23743
P23771;P23771-2,P23771;P23771-2,GATA3_HUMAN,GATA3,Trans-acting T-cell-specific transcription factor GATA-3,GATA3,P23771;P23771-2,P23771;P23771-2
P23786,P23786,CPT2_HUMAN,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,P23786,P23786
P23919;P23919-2,P23919;P23919-2,KTHY_HUMAN,DTYMK,Thymidylate kinase,DTYMK,P23919;P23919-2,P23919;P23919-2
P23921,P23921,RIR1_HUMAN,RRM1,Ribonucleoside-diphosphate reductase large subunit,RRM1,P23921,P23921
P23946;P23946-2,P23946;P23946-2,CMA1_HUMAN,CMA1,Chymase,CMA1,P23946;P23946-2,P23946;P23946-2
P24043,P24043,LAMA2_HUMAN,LAMA2,Laminin subunit alpha-2,LAMA2,P24043,P24043
P24158,P24158,PRTN3_HUMAN,PRTN3,Myeloblastin,PRTN3,P24158,P24158
P24298,P24298,ALAT1_HUMAN,GPT,Alanine aminotransferase 1,GPT,P24298,P24298
P24347,P24347,MMP11_HUMAN,MMP11,Stromelysin-3,MMP11,P24347,P24347
P24534,P24534,EF1B_HUMAN,EEF1B2,Elongation factor 1-beta,EEF1B2,P24534,P24534
P24539,P24539,AT5F1_HUMAN,ATP5PB,"ATP synthase F(0) complex subunit B1, mitochondrial",ATP5PB,P24539,P24539
P24557;P24557-2;P24557-3;P24557-4,P24557;P24557-2;P24557-3;P24557-4,THAS_HUMAN,TBXAS1,Thromboxane-A synthase,TBXAS1,P24557;P24557-2;P24557-3;P24557-4,P24557;P24557-2;P24557-3;P24557-4
P24588,P24588,AKAP5_HUMAN,AKAP5,A-kinase anchor protein 5,AKAP5,P24588,P24588
P24593,P24593,IBP5_HUMAN,IGFBP5,Insulin-like growth factor-binding protein 5,IGFBP5,P24593,P24593
P24666,P24666;P24666-4,PPAC_HUMAN,ACP1,Low molecular weight phosphotyrosine protein phosphatase,ACP1,P24666,P24666
P24723,P24723;P24723-2,KPCL_HUMAN,PRKCH,Protein kinase C eta type,PRKCH,P24723,P24723
P24752,P24752,THIL_HUMAN,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,P24752,P24752
P24821,P24821;P24821-2;P24821-3;P24821-4;P24821-5;P24821-6,TENA_HUMAN,TNC,Tenascin,TNC,P24821,P24821
P24844,O14950;P19105;P24844,MYL9_HUMAN,MYL9,Myosin regulatory light polypeptide 9,MYL9,P24844,P24844
P24855,P24855,DNAS1_HUMAN,DNASE1,Deoxyribonuclease-1,DNASE1,P24855,P24855
P24928,P24928,RPB1_HUMAN,POLR2A,DNA-directed RNA polymerase II subunit RPB1,POLR2A,P24928,P24928
P24941,P24941;P24941-2,CDK2_HUMAN,CDK2,Cyclin-dependent kinase 2,CDK2,P24941,P24941
P25098,P25098,ARBK1_HUMAN,GRK2,Beta-adrenergic receptor kinase 1,GRK2,P25098,P25098
P25189;P25189-2,P25189;P25189-2,MYP0_HUMAN,MPZ,Myelin protein P0,MPZ,P25189;P25189-2,P25189;P25189-2
P25205;P25205-2,P25205;P25205-2,MCM3_HUMAN,MCM3,DNA replication licensing factor MCM3,MCM3,P25205;P25205-2,P25205;P25205-2
P25208,P25208,NFYB_HUMAN,NFYB,Nuclear transcription factor Y subunit beta,NFYB,P25208,P25208
P25311,P25311,ZA2G_HUMAN,AZGP1,Zinc-alpha-2-glycoprotein,AZGP1,P25311,P25311
P25325;P25325-2,P25325;P25325-2,THTM_HUMAN,MPST,3-mercaptopyruvate sulfurtransferase,MPST,P25325;P25325-2,P25325;P25325-2
P25398,P25398,RS12_HUMAN,RPS12,40S ribosomal protein S12,RPS12,P25398,P25398
P25440;P25440-2,P25440;P25440-2;P25440-3;P25440-4,BRD2_HUMAN,BRD2,Bromodomain-containing protein 2,BRD2,P25440;P25440-2,P25440;P25440-2
P25490,P25490,TYY1_HUMAN,YY1,Transcriptional repressor protein YY1,YY1,P25490,P25490
P25685,P25685;P25685-2,DNJB1_HUMAN,DNAJB1,DnaJ homolog subfamily B member 1,DNAJB1,P25685,P25685
P25686;P25686-2,O75190;O75190-2;P25686;Q8NHS0;O75190-3;O75190-4;P25686-2,DNJB2_HUMAN,DNAJB2,DnaJ homolog subfamily B member 2,DNAJB2,P25686;P25686-2,P25686;P25686-2
P25705,P25705;P25705-2,ATPA_HUMAN,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",ATP5F1A,P25705,P25705
P25774,P25774;P25774-2,CATS_HUMAN,CTSS,Cathepsin S,CTSS,P25774,P25774
P25786;P25786-2,P25786;P25786-2,PSA1_HUMAN,PSMA1,Proteasome subunit alpha type-1,PSMA1,P25786;P25786-2,P25786;P25786-2
P25787,P25787,PSA2_HUMAN,PSMA2,Proteasome subunit alpha type-2,PSMA2,P25787,P25787
P25788;P25788-2,P25788;P25788-2,PSA3_HUMAN,PSMA3,Proteasome subunit alpha type-3,PSMA3,P25788;P25788-2,P25788;P25788-2
P25789,P25789,PSA4_HUMAN,PSMA4,Proteasome subunit alpha type-4,PSMA4,P25789,P25789
P25815,P25815,S100P_HUMAN,S100P,Protein S100-P,S100P,P25815,P25815
P25940,P25940,CO5A3_HUMAN,COL5A3,Collagen alpha-3(V) chain,COL5A3,P25940,P25940
P25963,P25963,IKBA_HUMAN,NFKBIA,NF-kappa-B inhibitor alpha,NFKBIA,P25963,P25963
P26006;P26006-1,P26006;P26006-1,ITA3_HUMAN,ITGA3,Integrin alpha-3,ITGA3,P26006;P26006-1,P26006;P26006-1
P26010;P26010-2,P26010;P26010-2,ITB7_HUMAN,ITGB7,Integrin beta-7,ITGB7,P26010;P26010-2,P26010;P26010-2
P26022,P26022,PTX3_HUMAN,PTX3,Pentraxin-related protein PTX3,PTX3,P26022,P26022
P26038,P15311;P26038;P35241;P35241-3;P35241-5,MOES_HUMAN,MSN,Moesin,MSN,P26038,P26038
P26196,P26196,DDX6_HUMAN,DDX6,Probable ATP-dependent RNA helicase DDX6,DDX6,P26196,P26196
P26232-3,P26232;P26232-2;P26232-3;P26232-5,CTNA2_HUMAN,CTNNA2,Isoform 3 of Catenin alpha-2,CTNNA2,P26232-3,P26232-3
P26358;P26358-2,P26358;P26358-2,DNMT1_HUMAN,DNMT1,DNA (cytosine-5)-methyltransferase 1,DNMT1,P26358;P26358-2,P26358;P26358-2
P26368;P26368-2,P26368;P26368-2,U2AF2_HUMAN,U2AF2,Splicing factor U2AF 65 kDa subunit,U2AF2,P26368;P26368-2,P26368;P26368-2
P26373,P26373;P26373-2,RL13_HUMAN,RPL13,60S ribosomal protein L13,RPL13,P26373,P26373
P26440,P26440;P26440-2,IVD_HUMAN,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,P26440,P26440
P26447,P26447,S10A4_HUMAN,S100A4,Protein S100-A4,S100A4,P26447,P26447
P26572,P26572,MGAT1_HUMAN,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,P26572,P26572
P26583,P26583,HMGB2_HUMAN,HMGB2,High mobility group protein B2,HMGB2,P26583,P26583
P26599;P26599-1;P26599-2,P26599;P26599-1;P26599-2,PTBP1_HUMAN,PTBP1,Polypyrimidine tract-binding protein 1,PTBP1,P26599;P26599-1;P26599-2,P26599;P26599-1;P26599-2
P26639;P26639-2,P26639;P26639-2,SYTC_HUMAN,TARS1,"Threonine--tRNA ligase 1, cytoplasmic",TARS1,P26639;P26639-2,P26639;P26639-2
P26640,P26640,SYVC_HUMAN,VARS1,Valine--tRNA ligase,VARS1,P26640,P26640
P26641;P26641-2,P26641;P26641-2,EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,EEF1G,P26641;P26641-2,P26641;P26641-2
P26885,P26885,FKBP2_HUMAN,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,P26885,P26885
P27105,P27105;P27105-2,STOM_HUMAN,STOM,Stomatin,STOM,P27105,P27105
P27144,P27144,KAD4_HUMAN,AK4,"Adenylate kinase 4, mitochondrial",AK4,P27144,P27144
P27169,P27169,PON1_HUMAN,PON1,Serum paraoxonase/arylesterase 1,PON1,P27169,P27169
P27338,P27338;P27338-2,AOFB_HUMAN,MAOB,Amine oxidase [flavin-containing] B,MAOB,P27338,P27338
P27348,P27348,1433T_HUMAN,YWHAQ,14-3-3 protein theta,YWHAQ,P27348,P27348
P27361,P27361;P27361-2;P27361-3,MK03_HUMAN,MAPK3,Mitogen-activated protein kinase 3,MAPK3,P27361,P27361
P27482,P27482,CALL3_HUMAN,CALML3,Calmodulin-like protein 3,CALML3,P27482,P27482
P27487,P27487,DPP4_HUMAN,DPP4,Dipeptidyl peptidase 4,DPP4,P27487,P27487
P27540;P27540-2;P27540-3;P27540-4,P27540;P27540-2;P27540-3;P27540-4,ARNT_HUMAN,ARNT,Aryl hydrocarbon receptor nuclear translocator,ARNT,P27540;P27540-2;P27540-3;P27540-4,P27540;P27540-2;P27540-3;P27540-4
P27635,P27635;Q96L21,RL10_HUMAN,RPL10,60S ribosomal protein L10,RPL10,P27635,P27635
P27658,P27658,CO8A1_HUMAN,COL8A1,Collagen alpha-1(VIII) chain,COL8A1,P27658,P27658
P27694,P27694,RFA1_HUMAN,RPA1,Replication protein A 70 kDa DNA-binding subunit,RPA1,P27694,P27694
P27695,P27695,APEX1_HUMAN,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,APEX1,P27695,P27695
P27707,P27707,DCK_HUMAN,DCK,Deoxycytidine kinase,DCK,P27707,P27707
P27708,P27708,PYR1_HUMAN,CAD,CAD protein,CAD,P27708,P27708
P27797,P27797,CALR_HUMAN,CALR,Calreticulin,CALR,P27797,P27797
P27816,P27816;P27816-2;P27816-6,MAP4_HUMAN,MAP4,Microtubule-associated protein 4,MAP4,P27816,P27816
P27816-2,P27816-2,MAP4_HUMAN,MAP4,Isoform 2 of Microtubule-associated protein 4,MAP4.1,P27816-2,P27816-2
P27816-5,P27816-5,MAP4_HUMAN,MAP4,Isoform 5 of Microtubule-associated protein 4,MAP4.2,P27816-5,P27816-5
P27824;P27824-2,P27824;P27824-2,CALX_HUMAN,CANX,Calnexin,CANX,P27824;P27824-2,P27824;P27824-2
P27986;P27986-4,P27986;P27986-4,P85A_HUMAN,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,P27986;P27986-4,P27986;P27986-4
P27987,P27987;P27987-2,IP3KB_HUMAN,ITPKB,Inositol-trisphosphate 3-kinase B,ITPKB,P27987,P27987
P28062-2,P28062;P28062-2,PSB8_HUMAN,PSMB8,Isoform 2 of Proteasome subunit beta type-8,PSMB8,P28062-2,P28062-2
P28065;P28065-2,P28065;P28065-2,PSB9_HUMAN,PSMB9,Proteasome subunit beta type-9,PSMB9,P28065;P28065-2,P28065;P28065-2
P28066,P28066;P28066-2,PSA5_HUMAN,PSMA5,Proteasome subunit alpha type-5,PSMA5,P28066,P28066
P28070,P28070,PSB4_HUMAN,PSMB4,Proteasome subunit beta type-4,PSMB4,P28070,P28070
P28072,P28072,PSB6_HUMAN,PSMB6,Proteasome subunit beta type-6,PSMB6,P28072,P28072
P28074,P28074;P28074-3,PSB5_HUMAN,PSMB5,Proteasome subunit beta type-5,PSMB5,P28074,P28074
P28161,P28161;P28161-2,GSTM2_HUMAN,GSTM2,Glutathione S-transferase Mu 2,GSTM2,P28161,P28161
P28288,P28288;P28288-2,ABCD3_HUMAN,ABCD3,ATP-binding cassette sub-family D member 3,ABCD3,P28288,P28288
P28289;P28289-2,P28289;P28289-2,TMOD1_HUMAN,TMOD1,Tropomodulin-1,TMOD1,P28289;P28289-2,P28289;P28289-2
P28290;P28290-2,P28290;P28290-2;P28290-3,ITPI2_HUMAN,ITPRID2,Protein ITPRID2,ITPRID2,P28290;P28290-2,P28290;P28290-2
P28300,P28300,LYOX_HUMAN,LOX,Protein-lysine 6-oxidase,LOX,P28300,P28300
P28331;P28331-2;P28331-4;P28331-5,P28331;P28331-2;P28331-3;P28331-4;P28331-5,NDUS1_HUMAN,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,P28331;P28331-2;P28331-4;P28331-5,P28331;P28331-2;P28331-4;P28331-5
P28340,P28340,DPOD1_HUMAN,POLD1,DNA polymerase delta catalytic subunit,POLD1,P28340,P28340
P28370,P28370;P28370-2,SMCA1_HUMAN,SMARCA1,Probable global transcription activator SNF2L1,SMARCA1,P28370,P28370
P28482,P28482;P28482-2,MK01_HUMAN,MAPK1,Mitogen-activated protein kinase 1,MAPK1,P28482,P28482
P28676,P28676,GRAN_HUMAN,GCA,Grancalcin,GCA,P28676,P28676
P28715,P28715,ERCC5_HUMAN,ERCC5,DNA excision repair protein ERCC-5,ERCC5,P28715,P28715
P28838;P28838-2,P28838;P28838-2,AMPL_HUMAN,LAP3,Cytosol aminopeptidase,LAP3,P28838;P28838-2,P28838;P28838-2
P28906,P28906,CD34_HUMAN,CD34,Hematopoietic progenitor cell antigen CD34,CD34,P28906,P28906
P28907,P28907,CD38_HUMAN,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,CD38,P28907,P28907
P29083,P29083,T2EA_HUMAN,GTF2E1,General transcription factor IIE subunit 1,GTF2E1,P29083,P29083
P29084,P29084,T2EB_HUMAN,GTF2E2,Transcription initiation factor IIE subunit beta,GTF2E2,P29084,P29084
P29120;P29120-2,P29120;P29120-2,NEC1_HUMAN,PCSK1,Neuroendocrine convertase 1,PCSK1,P29120;P29120-2,P29120;P29120-2
P29122;P29122-2;P29122-4;P29122-5;P29122-6;P29122-7;P29122-8,P29122;P29122-2;P29122-4;P29122-5;P29122-6;P29122-7;P29122-8,PCSK6_HUMAN,PCSK6,Proprotein convertase subtilisin/kexin type 6,PCSK6,P29122;P29122-2;P29122-4;P29122-5;P29122-6;P29122-7;P29122-8,P29122;P29122-2;P29122-4;P29122-5;P29122-6;P29122-7;P29122-8
P29144,P29144,TPP2_HUMAN,TPP2,Tripeptidyl-peptidase 2,TPP2,P29144,P29144
P29218;P29218-3,P29218;P29218-3;P29218-2,IMPA1_HUMAN,IMPA1,Inositol monophosphatase 1,IMPA1,P29218;P29218-3,P29218;P29218-3
P29279,P29279,CCN2_HUMAN,CCN2,CCN family member 2,CCN2,P29279,P29279
P29350,P29350;P29350-2;P29350-3;P29350-4,PTN6_HUMAN,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,PTPN6,P29350,P29350
P29353;P29353-6,P29353;P29353-2;P29353-7;P29353-6,SHC1_HUMAN,SHC1,SHC-transforming protein 1,SHC1,P29353;P29353-6,P29353;P29353-6
P29372;P29372-2;P29372-4;P29372-5,P29372;P29372-4;P29372-2;P29372-5,3MG_HUMAN,MPG,DNA-3-methyladenine glycosylase,MPG,P29372;P29372-2;P29372-4;P29372-5,P29372;P29372-2;P29372-4;P29372-5
P29373,P29373,RABP2_HUMAN,CRABP2,Cellular retinoic acid-binding protein 2,CRABP2,P29373,P29373
P29375;P29375-2,P29375;P29375-2,KDM5A_HUMAN,KDM5A,Lysine-specific demethylase 5A,KDM5A,P29375;P29375-2,P29375;P29375-2
P29401;P29401-2,P29401;P29401-2,TKT_HUMAN,TKT,Transketolase,TKT,P29401;P29401-2,P29401;P29401-2
P29466;P29466-2,P29466;P29466-2,CASP1_HUMAN,CASP1,Caspase-1,CASP1,P29466;P29466-2,P29466;P29466-2
P29474,P29474,NOS3_HUMAN,NOS3,"Nitric oxide synthase, endothelial",NOS3,P29474,P29474
P29536;P29536-2,P29536;P29536-2,LMOD1_HUMAN,LMOD1,Leiomodin-1,LMOD1,P29536;P29536-2,P29536;P29536-2
P29558;P29558-2;Q6XE24;Q6XE24-2;Q6XE24-3;Q6XE24-4;Q6XE24-5,P29558;Q6XE24;P29558-2;Q6XE24-2;Q6XE24-3;Q6XE24-4;Q6XE24-5,RBMS1_HUMAN;RBMS3_HUMAN,RBMS1;RBMS3,"RNA-binding motif, single-stranded-interacting protein 1",RBMS1;RBMS3,P29558;P29558-2;Q6XE24;Q6XE24-2;Q6XE24-3;Q6XE24-4;Q6XE24-5,P29558;P29558-2;Q6XE24;Q6XE24-2;Q6XE24-3;Q6XE24-4;Q6XE24-5
P29590,P29590;P29590-11,PML_HUMAN,PML,Protein PML,PML,P29590,P29590
