Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
Q9Y2Z9;Q9Y2Z9-3,Q9Y2Z9;Q9Y2Z9-2;Q9Y2Z9-3,COQ6_HUMAN,COQ6,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",COQ6,Q9Y2Z9;Q9Y2Z9-3,Q9Y2Z9;Q9Y2Z9-3
Q9Y303,Q9Y303;Q9Y303-2;Q9Y303-3,NAGA_HUMAN,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,AMDHD2,Q9Y303,Q9Y303
Q9Y305;Q9Y305-2;Q9Y305-3;Q9Y305-4,Q9Y305;Q9Y305-2;Q9Y305-3;Q9Y305-4,ACOT9_HUMAN,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial",ACOT9,Q9Y305;Q9Y305-2;Q9Y305-3;Q9Y305-4,Q9Y305;Q9Y305-2;Q9Y305-3;Q9Y305-4
Q9Y314,Q9Y314,NOSIP_HUMAN,NOSIP,Nitric oxide synthase-interacting protein,NOSIP,Q9Y314,Q9Y314
Q9Y315,Q9Y315,DEOC_HUMAN,DERA,Deoxyribose-phosphate aldolase,DERA,Q9Y315,Q9Y315
Q9Y316;Q9Y316-2;Q9Y316-3,Q9Y316;Q9Y316-2;Q9Y316-3,MEMO1_HUMAN,MEMO1,Protein MEMO1,MEMO1,Q9Y316;Q9Y316-2;Q9Y316-3,Q9Y316;Q9Y316-2;Q9Y316-3
Q9Y320;Q9Y320-2,Q9Y320;Q9Y320-2,TMX2_HUMAN,TMX2,Thioredoxin-related transmembrane protein 2,TMX2,Q9Y320;Q9Y320-2,Q9Y320;Q9Y320-2
Q9Y365,Q9Y365,STA10_HUMAN,STARD10,START domain-containing protein 10,STARD10,Q9Y365,Q9Y365
Q9Y371;Q9Y371-2,Q9Y371;Q9Y371-2,SHLB1_HUMAN,SH3GLB1,Endophilin-B1,SH3GLB1,Q9Y371;Q9Y371-2,Q9Y371;Q9Y371-2
Q9Y376,Q9Y376,CAB39_HUMAN,CAB39,Calcium-binding protein 39,CAB39,Q9Y376,Q9Y376
Q9Y383,Q9NQ29;Q9Y383;Q9NQ29-2;Q9NQ29-3;Q96HJ9-2;Q9Y383-2;Q9Y383-3,LC7L2_HUMAN,LUC7L2,Putative RNA-binding protein Luc7-like 2,LUC7L2,Q9Y383,Q9Y383
Q9Y388,Q9Y388,RBMX2_HUMAN,RBMX2,"RNA-binding motif protein, X-linked 2",RBMX2,Q9Y388,Q9Y388
